year;elo_band;time_bin;game_stage;avg_accuracy;n_moves
2017;intermediate;21;end;9,09577E+15;397769
2017;intermediate;21;middle;9,05152E+15;860433
2017;intermediate;22;beginning;9,16039E+14;482263
2017;intermediate;22;end;9,09322E+15;361715
2017;intermediate;22;middle;9,04761E+15;788478
2017;intermediate;23;beginning;9,16033E+15;439937
2017;intermediate;23;end;9,08385E+15;328351
2017;intermediate;23;middle;9,04279E+15;721038
2017;intermediate;24;beginning;9,15887E+15;402726
2017;intermediate;24;end;9,07698E+14;299370
2017;intermediate;24;middle;9,03375E+15;665650
2017;intermediate;25;beginning;9,14447E+15;367913
2017;intermediate;25;end;9,06805E+15;272230
2017;intermediate;25;middle;9,02765E+15;609286
2017;intermediate;26;beginning;9,14596E+15;339368
2017;intermediate;26;end;9,06951E+15;250509
2017;intermediate;26;middle;9,02776E+15;565328
2017;intermediate;27;beginning;9,13888E+15;310830
2017;intermediate;27;end;9,06399E+15;228540
2017;intermediate;27;middle;9,02646E+15;519700
2017;intermediate;28;beginning;9,13729E+15;288379
2017;intermediate;28;end;9,06118E+15;212681
2017;intermediate;28;middle;9,02047E+15;482667
2017;intermediate;29;beginning;9,13747E+15;265693
2017;intermediate;29;end;9,05728E+15;195134
2017;intermediate;29;middle;9,01788E+15;446071
2017;intermediate;30;beginning;9,12967E+15;246046
2017;intermediate;30;end;9,04916E+15;180104
2017;intermediate;30;middle;9,01944E+15;413954
2017;intermediate;31;beginning;9,135E+15;227895
2017;intermediate;31;end;9,0445E+15;166563
2017;intermediate;31;middle;9,00653E+15;385810
2017;intermediate;32;beginning;9,12636E+15;212272
2017;intermediate;32;end;9,04234E+15;154294
2017;intermediate;32;middle;9,002E+14;360299
2017;intermediate;33;beginning;9,12023E+15;196566
2017;intermediate;33;end;9,04767E+14;143659
2017;intermediate;33;middle;9,00479E+14;334750
2017;intermediate;34;beginning;9,1259E+15;183562
2017;intermediate;34;end;9,04139E+15;134332
2017;intermediate;34;middle;8,99859E+15;313085
2017;intermediate;35;beginning;9,11664E+14;170522
2017;intermediate;35;end;9,02647E+15;123616
2017;intermediate;35;middle;8,99451E+15;292290
2017;intermediate;36;beginning;9,11895E+15;160534
2017;intermediate;36;end;9,02548E+14;115914
2017;intermediate;36;middle;8,99414E+15;274966
2017;intermediate;37;beginning;9,11423E+14;149294
2017;intermediate;37;end;9,03483E+15;108421
2017;intermediate;37;middle;8,99152E+15;256307
2017;intermediate;38;beginning;9,1104E+15;141129
2017;intermediate;38;end;9,03543E+15;100753
2017;intermediate;38;middle;8,99447E+15;242177
2017;intermediate;39;beginning;9,10773E+15;131674
2017;intermediate;39;end;9,02162E+15;94553
2017;intermediate;39;middle;8,98376E+14;225843
2017;intermediate;40;beginning;9,09965E+15;123571
2017;intermediate;40;end;9,01048E+15;88572
2017;intermediate;40;middle;8,99064E+15;213015
2017;intermediate;41;beginning;9,10953E+15;116623
2017;intermediate;41;end;9,03302E+15;83153
2017;intermediate;41;middle;8,97949E+15;200734
2017;intermediate;42;beginning;9,10762E+15;109568
2017;intermediate;42;end;9,00741E+15;78230
2017;intermediate;42;middle;8,97668E+15;188995
2017;intermediate;43;beginning;9,11439E+15;102757
2017;intermediate;43;end;9,01635E+15;73591
2017;intermediate;43;middle;8,97981E+15;177954
2017;intermediate;44;beginning;9,10937E+14;96812
2017;intermediate;44;end;9,01278E+15;69327
2017;intermediate;44;middle;8,98023E+15;168852
2017;intermediate;45;beginning;9,11978E+15;91448
2017;intermediate;45;end;9,01037E+14;64744
2017;intermediate;45;middle;8,98099E+15;158430
2017;intermediate;46;beginning;9,10115E+15;86225
2017;intermediate;46;end;8,99549E+14;62010
2017;intermediate;46;middle;8,98713E+15;150281
2017;intermediate;47;beginning;9,11472E+15;81363
2017;intermediate;47;end;9,00676E+15;57962
2017;intermediate;47;middle;8,98189E+15;141821
2017;intermediate;48;beginning;9,10396E+15;77184
2017;intermediate;48;end;9,01183E+15;54912
2017;intermediate;48;middle;8,97507E+15;135069
2017;intermediate;49;beginning;9,10581E+15;72867
2017;intermediate;49;end;8,98784E+15;51603
2017;intermediate;49;middle;8,97246E+15;127958
2017;intermediate;50;beginning;9,10737E+14;69678
2017;intermediate;50;end;8,97513E+15;48945
2017;intermediate;50;middle;8,96072E+15;120412
2017;intermediate;51;beginning;9,09882E+15;65524
2017;intermediate;51;end;8,99053E+15;46655
2017;intermediate;51;middle;8,97058E+15;114589
2017;intermediate;52;beginning;9,1034E+15;62371
2017;intermediate;52;end;8,97099E+15;44039
2017;intermediate;52;middle;8,96456E+15;109134
2017;intermediate;53;beginning;9,08558E+15;59145
2017;intermediate;53;end;8,99775E+14;41775
2017;intermediate;53;middle;8,9639E+14;103794
2017;intermediate;54;beginning;9,0944E+15;56551
2017;intermediate;54;end;8,98401E+15;39400
2017;intermediate;54;middle;8,97826E+14;98981
2017;intermediate;55;beginning;9,10037E+15;53408
2017;intermediate;55;end;9,00545E+15;37822
2017;intermediate;55;middle;8,95936E+15;93870
2017;intermediate;56;beginning;9,09507E+15;51340
2017;intermediate;56;end;8,98915E+15;35670
2017;intermediate;56;middle;8,96301E+15;89157
2017;intermediate;57;beginning;9,09538E+15;48345
2017;intermediate;57;end;8,98454E+15;34064
2017;intermediate;57;middle;8,96509E+15;84741
2017;intermediate;58;beginning;9,09087E+15;46316
2017;intermediate;58;end;8,98327E+15;32588
2017;intermediate;58;middle;8,96397E+14;80974
2017;intermediate;59;beginning;9,09521E+14;43782
2017;intermediate;59;end;8,98857E+15;30854
2017;intermediate;59;middle;8,96709E+15;77064
2017;intermediate;60;beginning;9,09039E+15;42160
2017;intermediate;60;end;8,98757E+15;29741
2017;intermediate;60;middle;8,9731E+15;73758
2018;beginner;0;beginning;9,27551E+15;11325638
2018;beginner;0;end;9,29509E+15;9414490
2018;beginner;0;middle;9,27155E+15;7424416
2018;beginner;1;beginning;9,2626E+15;21945886
2018;beginner;1;end;9,31993E+15;17413432
2018;beginner;1;middle;9,24728E+15;17300263
2018;beginner;2;beginning;9,19442E+15;19442754
2018;beginner;2;end;9,30409E+15;16384054
2018;beginner;2;middle;9,19833E+14;19502199
